Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
N1,23/08/2025,20:00,Telstar,Volendam,2,2,D,2,0,H,18,10,9,6,10,11,4,6,3,0,0,0,2.35,3.8,2.8,2.3,3.7,2.85,2.33,3.78,2.8,2.28,3.69,2.8,2.1,3.8,3.1,2.2,3.86,3.14,2.15,3.72,3
N1,24/08/2025,11:15,Heerenveen,Twente,1,2,A,0,1,A,18,9,3,5,10,19,7,4,3,3,1,0,2.75,3.75,2.3,2.8,3.7,2.35,2.87,3.77,2.29,2.78,3.7,2.28,2.63,3.5,2.5,2.88,3.64,2.43,2.63,3.5,2.52
N1,24/08/2025,13:30,Nijmegen,NAC Breda,3,0,H,1,0,H,18,7,10,2,16,18,3,1,2,4,0,0,1.55,4.2,5.75,1.55,4.33,5.5,1.56,4.23,5.63,1.52,4.32,5.61,1.57,4.33,5.25,1.67,4.25,4.97,1.59,4.29,5.05
N1,24/08/2025,13:30,Utrecht,Excelsior,4,1,H,2,0,H,16,12,10,4,6,15,7,5,0,0,0,0,1.42,5.25,6.25,1.42,5.25,6.5,1.4,5.12,6.73,1.37,5.2,6.87,1.44,4.75,6.25,1.41,5.16,7.38,1.42,4.86,6.61
N1,24/08/2025,15:45,Ajax,Heracles,2,0,H,1,0,H,27,4,10,0,10,15,10,1,0,2,0,0,1.18,6.5,15,1.18,7.5,14.5,1.18,7.18,13.72,1.16,7.54,14.34,1.19,6.5,12,1.18,7.5,15,1.2,6.9,12.44
N1,29/08/2025,19:00,Groningen,Heracles,4,0,H,3,0,H,17,8,5,0,13,12,6,3,2,1,0,0,1.62,3.9,5.25,1.62,4,5.25,1.65,4.07,5.44,1.6,3.99,5.29,1.62,3.9,5,1.61,4.16,5.74,1.61,3.98,5.27
N1,30/08/2025,15:30,Volendam,Ajax,1,1,D,1,0,H,11,13,4,4,12,15,2,7,2,3,0,0,7,5.5,1.33,7.75,5.25,1.36,7.43,5.63,1.34,7.53,5.39,1.36,8.5,5.75,1.3,9.09,6.22,1.29,8.64,5.82
N1,30/08/2025,17:45,Heerenveen,Go Ahead Eagles,2,2,D,1,1,D,19,11,5,5,9,12,3,7,3,1,0,0,2.25,3.7,2.9,2.3,3.6,2.87,2.24,3.77,2.96,2.26,3.65,2.86,2.05,4,3.1,2.15,3.85,3.23,2.06,3.85,3.16
N1,30/08/2025,19:00,PSV Eindhoven,Telstar,0,2,A,0,1,A,23,9,5,4,10,11,10,3,1,1,0,0,1.08,12,19,1.09,13,20,1.08,12.65,17.91,1.08,11.44,21.19,1.1,10,17,1.08,13.16,19.35,1.09,10.78,19.72
N1,30/08/2025,20:00,Excelsior,Twente,1,0,H,0,0,D,8,27,3,8,13,11,1,4,2,2,1,0,3.8,4,1.83,3.8,3.8,1.88,4.02,3.98,1.81,3.83,3.86,1.82,3.5,3.75,1.95,4.02,3.97,1.87,3.75,3.73
