Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
P1,24/08/2025,15:30,Famalicao,Gil Vicente,0,0,D,0,0,D,11,20,3,8,17,18,2,9,3,1,0,0,2.05,3,4,2.15,3.1,3.5,2.11,3.1,3.94,2.07,3.13,3.66,1.85,3.2,4.5,1.79,3.42,5.39,1.83,3.28,4.5
P1,24/08/2025,18:00,Porto,Casa Pia,4,0,H,3,0,H,20,7,7,0,11,8,7,2,3,1,0,0,1.2,6,15,1.22,6.25,13,1.21,6.25,13.66,1.2,6.09,12.56,1.2,6,15,1.21,6.35,15.73,1.2,6.11,13.63
P1,24/08/2025,20:30,Sp Braga,AVS,2,2,D,1,2,A,21,4,5,2,9,12,11,3,2,3,0,0,1.33,5,8.5,1.34,4.8,8.75,1.32,5.21,9.43,1.32,4.88,8.8,1.25,5.5,12,1.33,5.3,10.48,1.26,5.31,10.91
P1,25/08/2025,20:15,Estrela,Alverca,2,2,D,1,2,A,19,6,6,2,18,24,6,2,4,5,1,1,1.9,3.4,4.1,1.88,3.3,4.1,1.91,3.39,4.28,1.88,3.3,4.11,2.5,3,3.1,2.6,3.08,3.16,2.5,3.03,2.98
P1,29/08/2025,20:15,Gil Vicente,Moreirense,2,0,H,0,0,D,12,10,4,0,18,12,4,3,1,2,0,0,2.55,2.82,3.1,2.55,2.8,3.1,2.64,2.92,3.22,2.51,2.79,3.13,2.45,2.75,3.25,2.61,2.83,3.37,2.49,2.78,3.19
P1,30/08/2025,15:30,Casa Pia,Nacional,0,2,A,0,2,A,9,9,3,2,13,22,2,3,2,3,0,0,2.15,3.2,3.4,2.2,3.25,3.2,2.28,3.16,3.39,2.23,3.19,3.18,2.1,3.2,3.6,2.3,3.17,3.64,2.19,3.16,3.32
P1,30/08/2025,18:00,AVS,Famalicao,0,1,A,0,0,D,13,11,3,3,16,18,5,9,1,5,0,1,4,3.5,1.86,4.1,3.4,1.88,4.25,3.37,1.93,4.06,3.35,1.88,3.8,3.4,1.96,4.69,3.44,1.88,4.02,3.28
P1,30/08/2025,18:00,Guimaraes,Arouca,1,1,D,1,1,D,12,9,3,3,15,17,2,2,4,4,0,0,1.76,3.6,4.33,1.8,3.6,4.2,1.81,3.58,4.51,1.77,3.62,4.24,2.05,3.4,3.4,1.78,3.72,4.92,2.08,3.36,3.41
P1,30/08/2025,20:30,Sp Lisbon,Porto,1,2,A,0,0,D,20,14,3,7,8,15,5,3,3,5,0,0,1.96,3.5,3.6,2.05,3.5,3.3,2.06,3.61,3.46,1.99,3.52,3.43,1.86,3.6,3.9,2.12,3.36,3.8,1.89,3.53,3.81
P1,31/08/2025,15:30,Tondela,Estoril,2,2,D,0,1,A,14,21,4,5,8,11,3,4,1,3,0,0,2.8,3.1,2.45,2.87,3.1,2.45,3,3.15,2.51,2.87,3.11,2.45,2.45,3.1,2.85,3.03,3.11,2.62,2.57,3.14,2.75
P1,31/08/2025,18:00,Alverca,Benfica,1,2,A,0,2,A,11,6,7,2,12,18,5,2,4,6,0,1,15,6,1.17,13.5,5.75,1.23,10.21,7.08,1.22,12.97,6.08,1.19,13,5.75,1.19,10.35,7.14,1.24,12.16,6.08
P1,31/08/2025,20:30,Rio Ave,Sp Braga,2,2,D,2,1,H,5,20,3,9,13,12,1,7,3,2,0,0,4.75,3.6,1.68,4.33,3.8,1.73,4.49,3.92,1.74,4.44,3.8,1.7,5.5,3.6,1.61,5.03,3.84,1.74,4.82,3.71
P1,31/08/2025,20:30,Santa Clara,Estrela,0,0,D,0,0,D,13,3,3,0,13,11,8,0,2,2,0,0,1.81,3.4,4.33,1.87,3.25,4.4,1.88,3.33,4.51,1.85,3.26,4.32,1.76,3.25,5,1.88,3.24,5.1,1.83,3.17,4.75
P1,06/09/2025,20:30,Estoril,Santa Clara,0,1,A,0,0,D,15,16,4,4,16,11,5,7,4,1,0,0,2.7,3,2.7,2.65,3.1,2.7,2.75,3.09,2.76,2.68,3.05,2.68,3.3,3,2.3,3.41,3.1,2.4,3.24,2.98
P1,12/09/2025,20:15,Alverca,Tondela,1,0,H,1,0,H,12,14,4,6,13,15,5,6,1,2,0,0,2.25,3.2,3.2,2.35,3.2,3,2.38,3.21,3.31,2.35,3.17,3.01,2.01,3.3,3.8,2.12,3.29,3.88,2.09,3.2,3.53
P1,12/09/2025,20:15,Benfica,Santa Clara,1,1,D,0,0,D,19,9,7,5,8,11,4,5,1,1,0,1,1.3,5,9.5,1.34,4.6,9.5,1.33,5.12,10.75,1.34,4.57,9.29,1.25,5.5,9.5,1.29,5.49,12.42,1.27,4.99,11.17
P1,13/09/2025,15:30,Estoril,AVS,3,1,H,2,0,H,15,12,5,4,11,11,1,5,5,2,0,0,1.81,3.7,4,1.88,3.3,4.1,1.85,3.78,4,1.85,3.45,4.05,1.66,3.9,4.5,1.74,3.91,4.87,1.69,3.74,4.67
P1,13/09/2025,15:30,Moreirense,Rio Ave,3,1,H,0,0,D,15,15,8,4,12,13,7,3,1,0,0,0,2.5,3,3,2.45,3.1,2.9,2.58,3.05,3,2.45,3.09,2.9,2.05,3.1,3.9,2.15,3.14,3.99,2.1,3.13,3.56
P1,13/09/2025,18:00,Porto,Nacional,1,0,H,1,0,H,11,5,5,1,6,14,5,5,2,4,0,0,1.15,6.5,17,1.2,6.75,13.5,1.16,7.45,16.83,1.18,6.56,14.1,1.15,7,15,1.16,7.91,20.11,1.2,6.28,12.83
P1,13/09/2025,20:30,Famalicao,Sp Lisbon,1,2,A,1,1,D,9,9,3,4,22,17,5,4,4,3,0,0,7,5,1.39,7,4.6,1.44,7.38,4.81,1.4,7.27,4.58,1.39,5.75,4.5,1.46,6.63,4.72,1.48,5.93,4.46
P1,14/09/2025,15:30,Estrela,Guimaraes,0,2,A,0,1,A,10,14,1,6,10,11,3,2,2,0,0,0,3.3,3.3,2.15,3.3,3.2,2.2,3.3,3.29,2.26,3.31,3.21,2.15,3.1,3.2,2.35,3.12,3.07,2.58,3.1,3.03,2.37
P1,14/09/2025,18:00,Arouca,Casa Pia,0,2,A,0,1,A,8,9,3,4,18,21,7,6,2,7,0,0,1.91,3.3,4,1.95,3.4,3.8,1.99,3.37,3.98,1.93,3.35,3.83,2.05,3.2,3.8,2.1,3.31,3.92,2.05,3.19,3.65
P1,14/09/2025,20:30,Sp Braga,Gil Vicente,0,1,A,0,1,A,11,12,7,5,7,12,5,7,2,3,0,0,1.46,4.33,6.25,1.47,4.33,6.25,1.51,4.12,6.56,1.48,4.14,6.35,1.68,3.7,4.75,1.55,4.02,6.93,1.68,3.58,5
P1,19/09/2025,20:15,Rio Ave,Porto,0,3,A,0,2,A,7,19,2,7,11,18,2,10,2,1,0,0,8,5,1.3,8,5,1.36,8.24,5.48,1.36,7.76,4.87,1.34,7.5,4.75,1.33,9.27,5.97,1.31,8.1,5
