Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
D1,13/09/2025,14:30,Heidenheim,Dortmund,0,2,A,0,2,A,6,17,1,8,5,9,5,4,2,3,1,0,5.5,4.5,1.55,5,4.4,1.58,5.53,4.66,1.56,5.16,4.39,1.55,5,4.5,1.57,5.34,4.54,1.6,4.98,4.44
D1,13/09/2025,14:30,Mainz,RB Leipzig,0,1,A,0,1,A,13,19,2,3,12,11,3,5,1,0,0,0,2.55,3.6,2.63,2.6,3.6,2.5,2.6,3.7,2.64,2.56,3.58,2.53,2.35,3.8,2.8,2.41,3.79,2.87,2.32,3.69,2.8
D1,13/09/2025,14:30,Union Berlin,Hoffenheim,2,4,A,0,2,A,20,9,7,8,13,12,9,2,1,1,1,0,2.6,3.4,2.7,2.55,3.4,2.65,2.66,3.51,2.68,2.56,3.39,2.64,2.88,3.4,2.45,2.94,3.42,2.53,2.74,3.4,2.49
D1,13/09/2025,14:30,Wolfsburg,FC Koln,3,3,D,1,1,D,14,14,6,8,15,11,7,4,2,3,0,0,1.95,3.5,3.9,2,3.5,3.7,2.01,3.61,3.85,1.96,3.56,3.66,1.91,3.6,3.75,1.95,3.71,3.97,1.92,3.65,3.76
D1,13/09/2025,17:30,Bayern Munich,Hamburg,5,0,H,4,0,H,22,9,12,2,11,14,5,3,2,2,0,0,1.06,12,26,1.08,13.5,26,1.07,14.97,29.41,1.06,11.91,26.44,1.06,12,23,1.08,16.5,21,1.07,12.59,25.03
D1,14/09/2025,14:30,St Pauli,Augsburg,2,1,H,1,1,D,13,10,7,5,10,12,3,1,1,4,0,0,2.2,3.4,3.3,2.2,3.3,3.3,2.23,3.39,3.46,2.19,3.31,3.25,2.1,3.5,3.3,2.23,3.32,3.6,2.11,3.37,3.43
D1,14/09/2025,16:30,M'gladbach,Werder Bremen,0,4,A,0,2,A,19,12,3,7,12,9,9,4,1,0,0,0,1.95,3.9,3.4,1.95,3.8,3.5,2,4.11,3.44,1.92,3.92,3.46,2.1,3.9,3,2.1,4.08,3.38,2.09,3.89,3.09
D1,19/09/2025,19:30,Stuttgart,St Pauli,2,0,H,1,0,H,17,9,8,2,13,15,8,4,0,2,0,0,1.75,4.1,4.2,1.78,3.8,4.2,1.78,4,4.46,1.75,3.89,4.33,1.8,3.9,4,1.87,4,4,1.82,3.88,3.89
D1,20/09/2025,14:30,Augsburg,Mainz,1,4,A,0,2,A,18,12,5,4,13,10,6,6,1,2,0,1,2.7,3.4,2.6,2.65,3.3,2.6,2.77,3.47,2.61,2.66,3.34,2.55,2.63,3.5,2.63,2.75,3.42,2.69,2.61,3.47,2.58
D1,20/09/2025,14:30,Hamburg,Heidenheim,2,1,H,1,0,H,22,20,9,8,15,10,1,12,5,1,0,0,2.05,3.6,3.5,2.05,3.5,3.6,2.1,3.53,3.66,2.02,3.51,3.45,1.75,3.9,4.5,1.88,3.89,4.18,1.77,3.87,4.2
D1,20/09/2025,14:30,Hoffenheim,Bayern Munich,1,4,A,0,1,A,12,18,4,10,17,9,5,5,1,2,0,0,7,6,1.33,7.5,5.75,1.35,7.87,6.19,1.33,7.48,5.7,1.32,7.5,5.25,1.36,8.29,6.37,1.31,6.98,5.37,1.37
D1,20/09/2025,14:30,Werder Bremen,Freiburg,0,3,A,0,1,A,12,10,5,5,13,7,2,0,5,2,0,0,2.38,3.6,2.8,2.4,3.5,2.75,2.38,3.81,2.86,2.37,3.59,2.72,2.35,3.6,2.88,2.51,3.68,2.79,2.37,3.55,2.79
D1,20/09/2025,17:30,RB Leipzig,FC Koln,3,1,H,3,1,H,18,13,8,2,10,8,9,5,1,1,0,0,1.65,4.33,4.5,1.68,4.1,4.6,1.68,4.39,4.73,1.65,4.15,4.61,1.9,4,3.75,1.95,3.9,3.84,1.86,4.01,3.64
D1,21/09/2025,14:30,Ein Frankfurt,Union Berlin,3,4,A,1,2,A,19,11,10,5,10,11,5,1,3,2,0,0,1.57,4.33,5.5,1.58,4.33,5.25,1.58,4.47,5.57,1.55,4.27,5.27,1.62,4.2,4.75,1.65,4.38,5.03,1.62,4.17,4.92
D1,21/09/2025,16:30,Leverkusen,M'gladbach,1,1,D,0,0,D,13,13,9,7,12,15,3,4,5,5,0,0,1.57,5,4.5,1.58,4.4,5,1.56,4.77,5.33,1.55,4.52,5.01,1.5,4.5,6.25,1.56,4.48,5.96,1.51,4.45,5.74
D1,21/09/2025,18:30,Dortmund,Wolfsburg,1,0,H,1,0,H,12,10,4,1,10,9,9,3,1,0,0,0,1.5,5,5.5,1.49,4.75,5.75,1.52,5.13,5.42,1.47,4.72,5.78,1.53,4.6,5.25,1.59,4.66,5.27,1.52,4.57,5.36
D1,26/09/2025,19:30,Bayern Munich,Werder Bremen,4,0,H,2,0,H,26,9,13,3,9,4,7,6,2,0,0,0,1.09,11,21,1.1,12.5,19,1.09,12.5,26,1.1,10.97,20.23,1.09,11,21,1.1,12,26,1.1,10.52,18.3
D1,27/09/2025,14:30,Heidenheim,Augsburg,2,1,H,0,0,D,11,8,5,2,16,20,3,2,1,6,0,0,2.7,3.5,2.5,2.75,3.5,2.45,2.77,3.65,2.51,2.69,3.46,2.46,2.9,3.5,2.35,2.85,3.56,2.53,2.82,3.46,2.39
D1,27/09/2025,14:30,Mainz,Dortmund,0,2,A,0,2,A,8,10,2,4,12,14,7,5,2,1,1,0,3.2,3.7,2.1,3.1,3.8,2.15,3.32,3.79,2.13,3.14,3.74,2.08,3.4,3.8,2,3.53,3.83,2.06,3.39,3.76,2
