Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
F1,30/08/2025,20:05,Toulouse,Paris SG,3,6,A,1,4,A,14,13,6,8,7,11,5,7,1,0,0,0,8.5,5.25,1.33,8.75,5.25,1.34,8.47,5.48,1.36,8.17,5.12,1.34,8.5,5.25,1.33,8.84,5.63,1.35,8.54,5.48
F1,31/08/2025,14:00,Angers,Rennes,1,1,D,0,1,A,10,15,7,7,9,11,1,7,2,2,0,0,3.4,3.5,2.1,3.25,3.4,2.15,3.47,3.53,2.16,3.34,3.37,2.11,4.75,3.5,1.77,4.31,3.6,1.93,4.37,3.6,1.8
F1,31/08/2025,16:15,Le Havre,Nice,3,1,H,1,0,H,12,7,8,3,13,16,0,5,1,4,0,0,3.6,3.5,2.05,3.5,3.4,2.1,3.64,3.59,2.08,3.44,3.51,2.05,3.1,3.3,2.3,3.47,3.58,2.17,3.24,3.41,2.19
F1,31/08/2025,16:15,Monaco,Strasbourg,3,2,H,1,0,H,12,12,4,4,13,12,6,5,2,1,0,1,1.55,4.33,5.5,1.55,4.33,5.5,1.56,4.56,5.64,1.53,4.34,5.5,1.42,5.25,6.25,1.55,4.75,5.75,1.42,4.91,6.54
F1,31/08/2025,16:15,Paris FC,Metz,3,2,H,1,1,D,24,14,9,2,4,8,14,6,1,1,0,1,1.8,3.7,4.33,1.85,3.6,4.2,1.84,3.76,4.43,1.82,3.6,4.23,1.73,4,4.5,1.76,3.94,4.78,1.74,3.77,4.57
F1,31/08/2025,19:45,Lyon,Marseille,1,0,H,0,0,D,17,5,5,2,16,11,9,4,2,2,0,1,2.63,3.6,2.5,2.7,3.7,2.4,2.74,3.75,2.49,2.65,3.68,2.4,2.8,3.4,2.45,2.99,3.48,2.43,2.83,3.49,2.38
F1,12/09/2025,19:45,Marseille,Lorient,4,0,H,3,0,H,15,4,8,1,18,5,10,0,3,2,0,1,1.38,5,7.5,1.36,5.25,7.5,1.39,5.55,7.44,1.36,5.22,7.55,1.36,5,8.5,1.36,5.66,8.12,1.35,5.16,8.17
F1,13/09/2025,16:00,Nice,Nantes,1,0,H,0,0,D,19,14,8,3,16,13,7,4,2,0,0,0,1.67,3.7,5.25,1.68,3.9,4.8,1.71,3.89,5.1,1.66,3.84,4.95,1.53,4.2,6.25,1.57,4.27,6.06,1.55,4.15,5.8
F1,13/09/2025,20:05,Auxerre,Monaco,1,2,A,0,1,A,9,13,2,3,12,19,5,8,3,6,1,0,5,4.33,1.6,4.8,4.33,1.62,5.17,4.55,1.6,4.92,4.3,1.59,5,4.5,1.57,4.95,4.63,1.62,5.03,4.49
F1,14/09/2025,14:00,Lille,Toulouse,2,1,H,0,0,D,20,9,5,4,12,10,7,6,2,3,0,1,1.75,3.8,4.5,1.8,3.8,4.1,1.78,4.01,4.43,1.76,3.81,4.25,1.85,3.7,4.2,1.88,3.61,4.49,1.84,3.6,4.18
F1,14/09/2025,16:15,Brest,Paris FC,1,2,A,0,2,A,23,7,8,4,11,10,6,1,0,2,0,1,2.25,3.5,3.1,2.25,3.5,3,2.31,3.66,3.05,2.21,3.51,3.06,2.63,3.4,2.6,2.53,3.47,2.91,2.6,3.38,2.62
F1,14/09/2025,16:15,Metz,Angers,1,1,D,1,0,H,9,11,5,4,10,7,4,3,0,1,0,0,2.25,3.4,3.2,2.25,3.4,3.1,2.35,3.32,3.26,2.27,3.31,3.1,2.25,3.4,3.2,2.23,3.35,3.57,2.27,3.24,3.32
F1,14/09/2025,16:15,Paris SG,Lens,2,0,H,1,0,H,14,11,6,3,10,8,4,3,1,2,0,0,1.33,5.75,7.5,1.32,6,8,1.33,5.97,8.28,1.31,5.75,8.06,1.36,5.5,7,1.35,5.92,8.11,1.34,5.58,7.59
F1,14/09/2025,16:15,Strasbourg,Le Havre,1,0,H,0,0,D,9,10,7,1,8,16,4,3,2,2,1,0,1.62,4,5.5,1.62,4.1,5,1.64,4.27,5.15,1.6,4.07,5.22,1.83,3.7,4.2,1.83,3.84,4.48,1.8,3.68,4.35
F1,14/09/2025,19:45,Rennes,Lyon,3,1,H,0,1,A,23,8,5,5,18,13,5,4,2,2,0,1,2.63,3.6,2.55,2.7,3.5,2.5,2.71,3.61,2.58,2.66,3.48,2.49,2.55,3.3,2.8,2.45,3.53,2.97,2.5,3.39,2.74
F1,19/09/2025,19:45,Lyon,Angers,1,0,H,0,0,D,16,10,5,2,16,10,7,4,2,2,0,0,1.44,4.33,7,1.46,4.5,6.5,1.47,4.63,6.93,1.43,4.56,7.02,1.48,4.5,6.5,1.48,4.72,7.24,1.44,4.5,6.95
F1,20/09/2025,16:00,Nantes,Rennes,2,2,D,0,2,A,16,8,4,4,14,18,4,4,3,1,0,0,3.5,3.4,2.1,3.4,3.4,2.15,3.69,3.47,2.11,3.39,3.35,2.11,4.1,3.5,1.91,3.56,3.45,2.18,3.82,3.45,1.96
F1,20/09/2025,18:00,Brest,Nice,4,1,H,2,1,H,11,21,5,4,17,11,2,7,1,3,0,0,2.63,3.5,2.6,2.6,3.6,2.5,2.75,3.59,2.56,2.63,3.51,2.5,3,3.6,2.3,3.24,3.66,2.24,2.96,3.54,2.27
F1,20/09/2025,20:05,Lens,Lille,3,0,H,2,0,H,15,17,6,3,17,11,4,10,1,3,0,0,2.38,3.5,2.9,2.37,3.5,2.8,2.4,3.49,3.02,2.4,3.43,2.8,2.2,3.5,3.2,2.32,3.55,3.18,2.23,3.45,3.1
F1,21/09/2025,14:00,Paris FC,Strasbourg,2,3,A,0,1,A,18,8,6,4,11,10,4,2,1,5,0,0,2.35,3.5,2.9,2.37,3.5,2.8,2.45,3.44,3,2.37,3.46,2.82,2.35,3.4,3,2.39,3.5,3.09,2.36,3.44,2.9
F1,21/09/2025,16:15,Auxerre,Toulouse,1,0,H,1,0,H,6,13,1,3,12,20,3,4,1,6,1,0,2.75,3.2,2.7,2.65,3.3,2.6,2.79,3.27,2.72,2.63,3.26,2.63,3.4,3.3,2.2,3.6,3.16,2.31,3.29,3.25,2.23
F1,21/09/2025,16:15,Le Havre,Lorient,1,1,D,0,1,A,13,8,2,4,20,15,6,2,3,6,0,0,2.25,3.5,3.1,2.25,3.4,3.1,2.31,3.49,3.18,2.26,3.38,3.05,2,3.4,3.8,2.17,3.35,3.81,2.09,3.27,3.61
F1,21/09/2025,16:15,Monaco,Metz,5,2,H,1,1,D,16,8,6,3,15,6,4,5,1,0,0,0,1.27,6,10,1.27,6,9.75,1.27,6.55,9.38,1.26,6.09,9.73,1.3,5.75,8.5,1.33,5.93,8.93,1.3,5.64,8.57
F1,22/09/2025,22:00,Marseille,Paris SG,1,0,H,1,0,H,9,12,2,5,16,7,5,3,3,0,0,0,3.7,4.1,1.9,3.5,3.9,1.93,3.73,3.98,1.94,3.55,3.89,1.89,4,3.9,1.83,4.26,4.08,1.81,3.99,3.81
F1,26/09/2025,19:45,Strasbourg,Marseille,1,2,A,0,0,D,9,16,1,9,13,15,5,4,2,4,0,0,3.6,3.6,2,3.5,3.6,2,3.76,3.78,2.01,3.51,3.6,2,3.2,3.6,2.15,3.39,3.61,2.19,3.19,3.54,2.15
F1,27/09/2025,16:00,Lorient,Monaco,3,1,H,1,0,H,19,5,8,2,10,11,2,4,2,3,0,1,5.5,4.1,1.6,4.8,4.33,1.63,5.28,4.36,1.62,4.93,4.25,1.6,3.75,3.8,1.9,4.04,3.95,1.88,3.8,3.81,2.08
F1,27/09/2025,18:00,Toulouse,Nantes,2,2,D,0,1,A,20,12,7,2,18,12,1,4,2,3,0,0,1.7,3.5,5.5,1.73,3.6,4.8,1.7,3.8,5.4,1.69,3.6,5.11,1.7,3.7,5,1.85,3.61,4.73,1.69,3.66,5.17
F1,27/09/2025,20:05,Paris SG,Auxerre,2,0,H,1,0,H,15,12,8,3,17,10,5,5,1,2,0,0,1.14,8,15,1.16,8.5,15.5,1.16,9.23,14.84,1.15,7.95,15.21,1.23,6.75,11,1.18,8.41,14.62,1.21,6.72,12.1
F1,28/09/2025,14:00,Nice,Paris FC,1,1,D,1,0,H,11,13,5,3,14,14,5,5,1,1,0,0,1.85,3.75,4,1.85,3.8,3.8,1.88,3.99,3.96,1.85,3.83,3.76,2.1,3.6,3.25,1.91,3.85,4.09,2.04,3.58,3.4
